"(""αρμόδι"", ""για"")","(""ευθύνη"", ""για"")","(""εύθυν"", ""για"")","(""αρμοδιότητ"", ""ακόλουθ"")","(""αρμοδιότητ"", ""μεταξύ"")","(""ρμοδιότητες"", ""τ"")","(""αρμοδιότητ"", ""έχει"")","(""αρμοδιότητ"", ""εξής"")","(""αρμοδιότητ"", ""είναι"")",RespA
8,1,0,2,0,1,3,6,2,1
12,0,0,0,0,1,0,3,0,1
3,2,0,0,0,3,0,3,0,1
0,0,0,0,0,1,0,0,0,1
1,1,0,1,0,11,13,0,0,1
20,0,0,3,0,6,6,9,2,1
20,0,0,3,0,6,6,9,2,1
20,0,0,3,0,6,6,9,2,1
5,1,2,0,0,10,27,81,0,1
6,2,1,0,0,5,8,24,0,1
3,16,0,2,0,4,2,0,0,1
0,1,0,0,0,17,0,0,0,1
3,16,0,2,0,4,2,0,0,1
0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,1
6,0,1,2,0,1,2,3,2,1
6,0,1,2,0,1,2,3,2,1
6,0,1,2,0,1,2,3,2,1
15,0,0,0,0,9,0,0,0,1
21,1,0,0,0,60,4,23,0,1
12,0,0,0,0,6,15,2,0,1
15,0,0,0,0,4,18,0,0,1
4,2,4,1,0,10,49,96,0,1
16,1,0,0,0,44,4,29,0,1
12,0,1,0,0,6,18,0,0,1
0,0,0,0,0,0,0,0,0,1
15,1,0,4,0,46,4,15,0,1
21,1,0,5,0,57,6,6,0,1
14,1,0,4,0,48,4,9,0,1
14,1,0,4,0,45,4,9,0,1
17,1,0,5,0,45,4,12,0,1
0,0,0,0,0,9,6,0,0,1
13,0,0,0,0,4,12,0,0,1
0,0,0,4,0,5,4,0,0,1
11,0,0,0,0,5,12,0,0,1
6,0,3,1,0,2,15,3,0,1
16,0,3,0,0,6,22,0,0,1
0,1,1,0,0,1,3,0,0,1
3,0,0,0,0,7,1,3,0,1
6,0,1,6,0,1,0,0,3,1
0,0,0,0,0,8,0,0,0,1
2,1,4,4,0,11,10,0,0,1
0,0,0,0,0,0,0,0,0,1
8,6,1,0,0,26,0,0,0,1
0,0,4,15,0,12,28,0,0,1
2,0,5,0,0,132,10,0,0,1
2,13,1,2,0,7,4,0,1,1
26,0,1,0,1,15,1,0,2,1
1,1,3,1,0,36,0,0,0,1
58,2,9,20,0,23,0,10,1,1
0,0,0,1,0,0,0,0,0,1
0,0,1,0,1,0,0,0,0,1
15,0,0,0,0,0,0,0,0,1
15,3,1,0,0,17,9,0,10,1
186,4,4,7,0,3,9,1,1,1
175,3,3,0,0,6,1,0,0,1
1,1,0,1,0,11,13,0,0,1
0,0,0,0,0,1,0,0,0,1
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,2,1,0,0,0,0,0,0,0
3,5,0,0,0,13,1,1,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0
1,2,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
4,2,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
2,0,1,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,1,1,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,1,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0
